id,success,packetCount
17,5,65
49,40,70
78,178,137
90,218,142
83,189,136
12,222,141
25,178,140
30,14,70
33,216,140
60,21,70
62,73,70
75,38,70
39,30,70
61,56,67
63,171,138
10,57,67
18,27,70
64,168,143
79,296,211
3,131,143
15,69,70
19,201,137
67,69,141
77,173,141
4,196,142
8,21,70
11,34,67
21,189,139
22,153,142
46,31,70
85,54,67
34,55,68
47,66,67
53,21,70
56,22,70
57,45,68
59,226,140
1,183,142
5,63,70
23,227,139
48,44,65
68,271,213
72,25,70
73,18,70
9,14,70
28,49,70
32,191,143
52,195,141
65,192,143
6,21,70
7,48,70
29,36,68
38,72,70
41,44,70
51,33,67
71,186,140
16,70,70
24,223,143
54,69,70
70,165,141
76,281,206
89,64,68
14,47,68
31,67,68
44,60,63
50,18,70
55,62,65
82,65,68
45,63,67
13,64,65
20,64,142
27,51,70
35,35,70
36,50,68
40,66,68
43,68,70
69,178,139
74,60,67
86,54,67
87,309,208
81,65,68
88,261,214
37,189,143
66,115,143
80,181,140
2,186,143
26,63,67
42,66,68
58,33,70
84,65,68
