id,success,packetCount
28,32,68
32,6,70
52,67,68
65,59,67
9,19,70
7,60,65
29,55,70
38,16,70
41,53,67
51,70,70
71,17,70
6,4,70
24,52,70
54,44,67
70,8,70
76,51,67
89,67,68
16,57,68
31,7,68
44,17,68
50,39,67
55,14,65
82,69,70
14,69,70
20,26,70
27,59,67
35,53,70
36,57,65
40,60,68
43,48,66
45,17,68
13,49,70
74,48,66
86,64,67
87,17,68
69,59,65
88,28,67
81,54,67
66,64,70
80,47,63
37,6,70
26,51,67
42,42,67
58,33,67
84,43,67
2,7,70
49,29,63
78,50,68
90,68,70
17,47,70
25,46,67
30,65,66
33,56,63
60,65,67
62,43,70
75,35,67
83,64,65
12,62,66
61,39,70
63,40,70
39,57,65
18,36,67
64,61,67
79,49,65
10,62,65
15,27,70
19,36,62
67,39,65
77,63,70
3,7,68
8,15,68
11,69,70
21,56,65
22,52,70
46,47,70
85,10,68
4,66,70
47,67,70
53,20,70
56,69,70
57,68,68
59,69,70
34,6,70
5,15,70
23,7,70
48,66,68
68,69,70
72,39,67
73,21,70
1,6,70
