id,success,packetCount
72,47,68
73,45,68
1,194,140
5,177,140
23,195,137
48,60,68
68,375,208
9,177,138
28,71,67
32,184,139
52,248,136
65,148,143
51,76,68
71,203,140
6,147,145
7,150,143
29,16,70
38,191,139
41,132,137
89,60,67
16,22,70
24,233,143
54,125,141
70,147,142
76,350,215
82,66,68
14,188,143
31,60,66
44,44,70
50,44,67
55,32,67
40,14,68
43,132,142
45,67,65
13,145,140
20,214,142
27,19,70
35,15,70
36,62,67
69,223,135
74,47,68
86,38,67
87,176,213
81,62,68
88,354,212
37,177,138
66,47,143
80,183,140
2,61,143
26,191,139
42,90,67
58,25,70
84,20,68
17,69,70
49,62,63
78,231,143
90,195,142
62,59,65
75,49,68
83,178,143
12,358,216
25,272,216
30,69,67
33,233,140
60,156,139
39,184,141
61,16,70
63,193,142
10,138,142
18,38,67
64,221,137
79,311,217
3,265,140
15,170,143
19,254,141
67,175,140
77,137,145
46,67,68
85,65,65
4,188,135
8,198,143
11,145,138
21,164,143
22,151,143
59,240,137
34,23,70
47,162,137
53,56,67
56,26,68
57,22,70
