id,success,packetCount
54,78,67
70,47,67
76,52,143
89,65,65
16,65,64
24,144,139
44,58,68
50,45,68
55,58,67
82,31,67
14,17,70
31,67,67
27,19,70
35,53,70
36,20,70
40,54,65
43,34,65
45,27,70
13,41,70
20,172,140
86,34,68
87,140,140
69,69,70
74,27,70
81,69,70
88,176,141
80,156,139
37,161,140
66,45,67
42,53,67
58,40,67
84,65,65
2,94,68
26,67,67
78,53,67
90,106,70
17,70,70
49,61,68
30,21,68
33,111,142
60,42,68
62,60,66
75,47,68
83,174,139
12,192,138
25,139,140
63,64,67
39,69,70
61,7,70
64,51,68
79,159,143
10,16,70
18,43,70
19,135,139
67,66,67
77,47,68
3,55,65
15,71,65
11,29,70
21,155,139
22,164,141
46,64,67
85,12,68
4,19,70
8,10,70
53,65,68
56,41,70
57,47,67
59,174,141
34,71,68
47,14,70
23,129,135
48,68,70
68,194,140
72,66,67
73,51,68
1,20,70
5,50,70
32,184,140
52,124,141
65,23,68
9,38,70
28,40,68
29,59,65
38,32,70
41,44,67
51,85,67
71,44,70
6,8,68
7,5,70
