id,success,packetCount
36,6,42
58,4,42
65,6,42
19,5,42
40,7,42
43,6,42
64,13,42
7,6,42
9,6,42
50,10,42
53,40,42
66,41,42
54,40,42
55,5,42
59,4,40
4,7,42
18,6,42
27,15,42
29,8,42
42,7,42
60,6,42
56,6,42
5,4,40
22,6,42
39,7,42
41,37,37
47,6,42
48,6,40
49,6,42
14,5,42
15,12,42
46,40,42
57,4,42
61,22,40
20,5,42
35,9,42
11,5,42
12,6,42
13,5,42
33,6,42
8,5,42
32,7,42
37,7,42
38,7,42
63,7,42
67,22,40
1,5,42
6,6,42
21,6,42
24,8,42
45,8,42
51,6,42
2,11,40
16,10,42
17,10,42
30,6,42
44,6,42
69,7,42
28,8,42
31,5,40
34,6,42
52,5,42
62,6,42
25,6,42
70,40,42
10,7,42
23,9,42
26,9,42
3,6,42
68,7,42
