id,success,packetCount
19,6,42
40,6,42
43,23,40
64,22,40
7,5,42
9,4,42
50,6,42
53,6,42
66,7,42
4,6,42
18,6,42
27,5,42
29,4,42
42,6,42
54,40,41
55,6,42
59,5,42
60,4,40
5,6,42
22,5,42
39,5,42
41,5,40
47,39,39
56,42,42
48,22,40
49,7,42
14,8,42
15,6,42
46,8,42
57,10,42
61,6,42
20,6,42
35,4,42
11,7,42
12,6,42
13,15,39
33,4,42
8,6,42
32,4,42
37,5,42
38,4,42
63,22,42
1,5,42
6,10,42
21,6,42
24,6,42
45,7,42
67,6,42
2,4,40
16,4,40
17,5,40
30,7,42
44,6,42
51,5,42
28,5,42
31,4,42
34,4,42
52,42,42
62,6,42
69,5,40
25,4,42
70,42,42
10,10,42
23,5,42
26,9,42
3,6,42
68,7,42
36,5,42
58,5,42
65,4,40
