id,success,packetCount
3,5,42
68,6,42
36,4,42
58,6,42
65,6,42
64,6,42
19,4,42
40,6,42
43,37,37
53,6,42
66,7,42
7,6,42
9,6,42
50,5,42
29,4,39
42,7,42
54,7,42
55,42,42
59,5,40
4,6,42
18,6,42
27,9,42
60,6,42
41,6,42
47,22,42
56,5,40
5,6,42
22,6,42
39,5,42
48,39,39
49,5,42
57,42,42
61,6,42
14,4,42
15,4,42
46,4,40
20,6,42
35,4,40
33,6,42
11,20,40
12,4,42
13,6,42
38,41,42
63,38,39
8,6,42
32,4,42
37,5,40
24,6,42
45,22,40
67,15,42
1,6,42
6,4,40
21,7,42
30,6,42
44,4,42
51,7,42
2,4,40
16,8,40
17,4,42
52,41,42
62,6,42
69,36,37
28,7,42
31,4,42
34,4,40
25,5,40
70,24,39
10,6,42
23,42,42
26,41,42
