id,success,packetCount
16,6,42
17,5,40
30,4,42
44,4,42
51,4,42
2,4,42
31,6,42
34,6,42
52,5,42
62,6,42
69,6,42
28,6,42
70,11,42
25,4,42
23,6,42
26,6,42
10,6,42
68,7,42
3,6,42
58,4,42
65,23,40
36,5,42
40,7,42
43,22,40
64,22,40
19,4,42
9,4,42
50,4,42
53,6,42
66,36,42
7,6,42
18,5,40
27,6,42
29,4,40
42,6,42
54,5,42
55,4,42
59,40,40
4,6,42
60,6,42
22,5,42
39,4,40
41,22,40
47,17,40
56,6,42
5,6,42
49,22,40
48,7,42
15,4,42
46,6,42
57,4,42
61,7,42
14,5,42
35,6,42
20,4,42
12,4,42
13,4,42
33,8,40
11,4,42
32,6,42
37,5,42
38,6,42
63,4,40
8,6,42
6,4,40
21,5,42
24,4,42
45,5,40
67,6,42
1,4,42
